GB.MES2;GB.MES1;GB.AC;GB.OPC;GB.NPC1;GB.NPC2;GB.G1.S;GB.G2.M;Astrocyte;Neurons_inhib;Neurons_excit;Oligodendrocyte;OPC;Endothelial;Perivascular_fibroblast;Pericyte;SMC;T_cell;MG;BDM
;;;;;;;;PAMR1;;;PLD1;NLGN4Y;INSR;;THSD7B;;STK10;;
;;;;;;;;EFEMP1;;;FOLH1;ADARB2;PARVB;;LAMC3;;LINC00861;;
;;;;;;;;DAAM1;;;DLG2;UNC80;CXorf36;;DOK6;;KIAA1551;;
;;;;;;;;DOCK7;;;AATK;SHC3;ANXA3;;DACH1;;SMAP2;;
;;;;;;;;FGFR3;;;SYNJ2;MIR3681HG;HIF1A-AS2;;TBX2;;SIDT1;;
;;;;;;;;AC099792.1;;;ARAP2;MYT1;CEMIP2;;ISYNA1;;KCNQ5;;
;;;;;;;;TRPS1;;;DIP2B;MAP2;CHSY1;;PLCE1;;RUNX2;;
;;;;;;;;GPR75-ASB3;;;PLCL1;PLPPR1;RAPGEF1;;CACHD1;;P2RY8;;
;;;;;;;;CRB1;;;HS3ST5;SEMA5A;AFDN;;RORA;;AC006369.1;;
;;;;;;;;WWC1;;;COBL;PLPP4;GRB10;;PDE5A;;SLAMF6;;
;;;;;;;;NEBL;;;COLGALT2;PDZD2;PTPRG;;AGRN;;SLA;;
;;;;;;;;CDH20;;;NLGN1;ADGRL3;PCAT19;;SHISA6;;TMEM131L;;
;;;;;;;;ANKFN1;;;AC009063.2;ZNF462;XAF1;;PTPRK;;RAP1GAP2;;
;;;;;;;;OPHN1;;;ATP10B;EPN2;GPCPD1;;DISC1;;DTHD1;;
;;;;;;;;CABLES1;;;AKAP6;POU6F2;ATP7B;;CRISPLD2;;STK17A;;
;;;;;;;;APC;;;KCNMB4;NEGR1;AP3S1;;NR2F2;;BTG1;;
;;;;;;;;ASPH;;;DNM3;SCN3A;RPGR;;ZEB1;;LCK;;
;;;;;;;;TNRC6A;;;CNDP1;NTNG1;RBMS2;;CTDSPL;;DIAPH1;;
;;;;;;;;ADRA1A;;;HECW2;RNF150;NOSTRIN;;GRK5;;FAM49B;;
